Probability_of_Default,Internal_Score,Prediction,Actual_Status,Rating
0.29428985993572837,538.7981962236853,Not Default,Not Default,Fair
0.22750534128029565,548.8339289233571,Not Default,Not Default,Fair
0.15820643076927707,561.7946029987927,Not Default,Default,Good
0.6956716305182944,489.70588488814707,Default,Default,Fair
0.4643431133898828,517.6837969811287,Not Default,Not Default,Fair
0.10555114126812776,575.2225744787219,Not Default,Not Default,Good
0.5907016754343181,502.9758992476978,Default,Not Default,Fair
0.23687581252369025,547.3171773430082,Not Default,Not Default,Fair
0.12417550624406669,569.9266614837303,Not Default,Not Default,Good
0.15470470274287518,562.5602055188923,Not Default,Not Default,Good
0.11533857740526864,572.3464436947223,Not Default,Not Default,Good
0.1371107495692337,566.6381125305315,Not Default,Not Default,Good
0.2746403364904286,541.5844979177624,Not Default,Not Default,Fair
0.06860906481592263,588.8197527867363,Not Default,Not Default,Good
0.6065243533858844,501.07561353538836,Default,Not Default,Fair
0.277645496081913,541.150698850184,Not Default,Not Default,Fair
0.585771558725533,503.5632074348874,Default,Not Default,Fair
0.7150118497819691,487.02013373704364,Default,Not Default,Fair
0.5758491130093287,504.73917290655857,Default,Not Default,Fair
0.09980853534009877,577.0213737921788,Not Default,Not Default,Good
0.5457602423187105,508.26517178088034,Default,Not Default,Fair
0.3034001707099474,537.5436025432341,Not Default,Not Default,Fair
0.793716909913952,474.6814585047024,Default,Not Default,Fair
0.49532533871157625,514.100982675811,Not Default,Not Default,Fair
0.5352636274494513,509.48469691322174,Default,Not Default,Fair
0.6563806027583388,494.8870155699619,Default,Not Default,Fair
0.21369424483118948,551.1522852965215,Not Default,Not Default,Good
0.08640724151452855,581.6079798047105,Not Default,Not Default,Good
0.6320486422961279,497.951027420738,Default,Not Default,Fair
0.7948147817765884,474.4876000534394,Default,Not Default,Fair
0.2396667739373008,546.8734765343928,Not Default,Not Default,Fair
0.5103347879895673,512.3684724016074,Default,Not Default,Fair
0.37584696655011984,528.1965269190264,Not Default,Not Default,Fair
0.46196941186918133,517.9592553989971,Not Default,Not Default,Fair
0.4740004858305885,516.5648966856751,Not Default,Not Default,Fair
0.281857721039299,540.5474903423631,Not Default,Not Default,Fair
0.45201628763058727,519.1166031866208,Not Default,Not Default,Fair
0.2858049788861129,539.9871786469934,Not Default,Not Default,Fair
0.32002189131038006,535.3077921778987,Not Default,Not Default,Fair
0.8637749854149311,460.268160264476,Default,Default,Fair
0.37137671307808817,528.7476853397656,Not Default,Not Default,Fair
0.5745154173491458,504.89666307037453,Default,Not Default,Fair
0.4086427396876377,524.2252356125902,Not Default,Not Default,Fair
0.5566681014893309,506.99283320708867,Default,Not Default,Fair
0.6282592256440079,498.4201778485205,Default,Not Default,Fair
0.6458848567120201,496.2202689942981,Default,Not Default,Fair
0.2907718061793005,539.2886880853405,Not Default,Not Default,Fair
0.06686149223457129,589.618313710096,Not Default,Not Default,Good
0.3935732384878061,526.0354639957646,Not Default,Not Default,Fair
0.4862118732713338,515.1532066351381,Not Default,Not Default,Fair
0.30651628289078037,537.1194039675845,Not Default,Not Default,Fair
0.5874315909704138,503.3656881619542,Default,Not Default,Fair
0.5964446183510872,502.289007876883,Default,Not Default,Fair
0.501029991449646,513.4425608495745,Default,Not Default,Fair
0.4046609497343185,524.7013959962919,Not Default,Not Default,Fair
0.4625000610336811,517.8976587996286,Not Default,Not Default,Fair
0.6454072567662928,496.28050235288936,Default,Not Default,Fair
0.10539544763430383,575.2701890236784,Not Default,Not Default,Good
0.11700027000191597,571.8794608543458,Not Default,Not Default,Good
0.240004957203292,546.8199541810357,Not Default,Not Default,Fair
0.22960124121004857,548.4909368555369,Not Default,Not Default,Fair
0.1824126998857545,556.8447703147726,Not Default,Not Default,Good
0.4345373200924762,521.1604725597749,Not Default,Not Default,Fair
0.6301511523648172,498.1861952194904,Default,Default,Fair
0.5524080180462264,507.4904367507292,Default,Not Default,Fair
0.48218497968528473,515.6184401686041,Not Default,Not Default,Fair
0.8626473815459221,460.5437071920911,Default,Not Default,Fair
0.12745409260191876,569.0665048711775,Not Default,Not Default,Good
0.1565959711383683,562.1449744510414,Not Default,Not Default,Good
0.24858449980479227,545.4789287933867,Not Default,Not Default,Fair
0.2608649626824115,543.6121336596644,Not Default,Not Default,Fair
0.10586695164544388,575.1261826482313,Not Default,Not Default,Good
0.09631115958653619,578.1624626812613,Not Default,Not Default,Good
0.12888733500537183,568.6964144159169,Not Default,Not Default,Good
0.21736335334913467,550.5261168538789,Not Default,Not Default,Good
0.4977162668760564,513.8250183713882,Not Default,Default,Fair
0.3508397080647413,531.316692381255,Not Default,Not Default,Fair
0.7019243254622733,488.8487009497494,Default,Not Default,Fair
0.8847752751738412,454.74422314080556,Default,Not Default,Fair
0.6020787684838866,501.6120507834299,Default,Not Default,Fair
0.4720298900305851,516.7929988853598,Not Default,Not Default,Fair
0.13879678905801554,566.2290282161548,Not Default,Not Default,Good
0.6411617656743271,496.8143425435101,Default,Not Default,Fair
0.5501141865149655,507.7579934252604,Default,Not Default,Fair
0.10117609728286535,576.5848380135964,Not Default,Not Default,Good
0.38631486724359704,526.9158667517107,Not Default,Not Default,Fair
0.2634853084332704,543.2212737444927,Not Default,Not Default,Fair
0.09531936579481713,578.4927847303848,Not Default,Not Default,Good
0.5661631201515578,505.880136591413,Default,Not Default,Fair
0.11375992681180344,572.7955405193079,Not Default,Not Default,Good
0.5314442263682709,509.92748797744224,Default,Not Default,Fair
0.08191934392260165,583.2883348619782,Not Default,Not Default,Good
0.3928847462820764,526.118723399526,Not Default,Not Default,Fair
0.3298292232248187,534.0176290922626,Not Default,Not Default,Fair
0.35631220355135734,530.6258225279311,Not Default,Default,Fair
0.12781622961106723,568.9726602865578,Not Default,Not Default,Good
0.7687018010589916,478.9080377710844,Default,Not Default,Fair
0.5423588408873878,508.66082035304584,Default,Not Default,Fair
0.5957630655400509,502.370687266854,Default,Not Default,Fair
0.09852770503425108,577.4350740079551,Not Default,Not Default,Good
0.3329891088679258,533.6061446366341,Not Default,Not Default,Fair
0.22253211857488311,549.6568280536754,Not Default,Not Default,Fair
0.14785684660642226,564.0993333498812,Not Default,Not Default,Good
0.04904399079956171,599.1060445130629,Not Default,Not Default,Good
0.36904728227974926,529.0359627165374,Not Default,Not Default,Fair
0.14859477720243366,563.9306887237234,Not Default,Not Default,Good
0.34969349633733665,531.4620158491283,Not Default,Not Default,Fair
0.6887759056290679,490.63981968729,Default,Not Default,Fair
0.4444421261329993,520.0002709140717,Not Default,Not Default,Fair
0.5145461242200874,511.8821145229962,Default,Not Default,Fair
0.7393414107712015,483.479851682014,Default,Not Default,Fair
0.1714403113294191,559.0194232340507,Not Default,Not Default,Good
0.7093754563750587,487.81358070552534,Default,Not Default,Fair
0.2634597260122303,543.2250775815038,Not Default,Not Default,Fair
0.7849784544899351,476.19800152104915,Default,Default,Fair
0.37031497288491483,528.8789876997988,Not Default,Not Default,Fair
0.5206832006283734,511.17291100265146,Default,Not Default,Fair
0.4523564122069371,519.0769852121113,Not Default,Not Default,Fair
0.6305862043879231,498.1323208284577,Default,Default,Fair
0.5008706723313366,513.4609488283094,Default,Not Default,Fair
0.21508923734888374,550.9133042000574,Not Default,Not Default,Good
0.2411177501353063,546.6442019093101,Not Default,Not Default,Fair
0.2869991708154708,539.818581816504,Not Default,Not Default,Fair
0.5409701232674942,508.8222208609087,Default,Not Default,Fair
0.31372300916272694,536.147430940191,Not Default,Not Default,Fair
0.7992437102863861,473.6976321538358,Default,Not Default,Fair
0.23660889963791384,547.35979867163,Not Default,Not Default,Fair
0.4546677318936999,518.807896217778,Not Default,Not Default,Fair
0.35848495776888334,530.352848304155,Not Default,Not Default,Fair
0.28250257704615145,540.4556305402933,Not Default,Not Default,Fair
0.4618975243175286,517.9676007156401,Not Default,Not Default,Fair
0.18814073998172237,555.7497854364284,Not Default,Not Default,Good
0.6162742423489264,499.89150041206443,Default,Not Default,Fair
0.5573184867959322,506.9167804339872,Default,Not Default,Fair
0.34747953923423314,531.7433403159132,Not Default,Not Default,Fair
0.6642841914264037,493.87023594670165,Default,Not Default,Fair
0.2901440018950039,539.3765837738144,Not Default,Not Default,Fair
0.38954584857142294,526.5232341986525,Not Default,Not Default,Fair
0.43241264192235523,521.4101131917703,Not Default,Not Default,Fair
0.5010827130318728,513.4364759291906,Default,Not Default,Fair
0.36673854192786065,529.3224257759698,Not Default,Not Default,Fair
0.13898538642875477,566.1835285968468,Not Default,Not Default,Good
0.5696427147037825,505.470989316494,Default,Not Default,Fair
0.4188559058953413,523.0102762431266,Not Default,Not Default,Fair
0.29839123269399564,538.2306706771802,Not Default,Default,Fair
0.4320952999852414,521.4474243664253,Not Default,Not Default,Fair
0.5960718482811262,502.33368729679535,Default,Not Default,Fair
0.4255747056997414,522.2155755509664,Not Default,Not Default,Fair
0.299878338551186,538.026004692157,Not Default,Not Default,Fair
0.5353743854644717,509.4718496054651,Default,Not Default,Fair
0.6084371995517234,500.8441451021953,Default,Not Default,Fair
0.700868413410571,488.9941711464047,Default,Not Default,Fair
0.8390919519562713,465.9095894847408,Default,Not Default,Fair
0.3368640623916124,533.104200418339,Not Default,Not Default,Fair
0.4898352075258808,514.7347754192493,Not Default,Not Default,Fair
0.09395960076842506,578.9506959263196,Not Default,Not Default,Good
0.6653800442136033,493.7283358621542,Default,Not Default,Fair
0.27566138096477477,541.4367807154656,Not Default,Not Default,Fair
0.34060002893542124,532.6229434246771,Not Default,Not Default,Fair
0.1136870385946097,572.8164066768461,Not Default,Not Default,Good
0.5438046710144262,508.49270073062763,Default,Not Default,Fair
0.07440771359372783,586.2984930634709,Not Default,Not Default,Good
0.7234839638810037,485.80948030558835,Default,Default,Fair
0.629278267299574,498.2942095683312,Default,Not Default,Fair
0.37409849330840445,528.4117879779143,Not Default,Not Default,Fair
0.0541632069694655,596.0855620236737,Not Default,Not Default,Good
0.8841105862225507,454.9318770957455,Default,Not Default,Fair
0.7170171153992663,486.73558293418574,Default,Not Default,Fair
0.12024315434100281,570.9844395815077,Not Default,Not Default,Good
0.09165304577661276,579.7412126635357,Not Default,Not Default,Good
0.1864740970599825,556.0656989328423,Not Default,Not Default,Good
0.0994885958433109,577.1242676891827,Not Default,Not Default,Good
0.47459416515842534,516.4961952755895,Not Default,Not Default,Fair
0.6924655107106112,490.14155804475126,Default,Not Default,Fair
0.740434513224062,483.31596657702795,Default,Default,Fair
0.1377481539438906,566.4829646635096,Not Default,Not Default,Good
0.22724861192104845,548.8760952700364,Not Default,Not Default,Fair
0.2715145197310951,542.0388554388161,Not Default,Not Default,Fair
0.28244940140188285,540.4632006002502,Not Default,Not Default,Fair
0.11616455905032483,572.113594155714,Not Default,Not Default,Good
0.17837842729089556,557.632096354307,Not Default,Not Default,Good
0.18691096485944939,555.982680787146,Not Default,Not Default,Good
0.22004150538645664,550.0738716032009,Not Default,Not Default,Good
0.48348794004718487,515.4678807152961,Not Default,Not Default,Fair
0.55861841050741,506.7647047597766,Default,Not Default,Fair
0.5890414720286441,503.1739100863195,Default,Not Default,Fair
0.16589136583731573,560.1613679439755,Not Default,Not Default,Good
0.7190229305366557,486.44973042582205,Default,Default,Fair
0.29204477710353755,539.1108087200464,Not Default,Not Default,Fair
0.6202938476390437,499.40006929028664,Default,Not Default,Fair
0.7722398172550905,478.33077036486037,Default,Not Default,Fair
0.6054426665726147,501.2063302357067,Default,Not Default,Fair
0.3129610306114824,536.2496162184455,Not Default,Not Default,Fair
0.39221425212572397,526.1998557935419,Not Default,Not Default,Fair
0.4279612665433137,521.9340902691469,Not Default,Not Default,Fair
0.1674533013402597,559.8368856643941,Not Default,Not Default,Good
0.642174358337547,496.68727238057267,Default,Not Default,Fair
0.4903225383382057,514.6785076816358,Not Default,Not Default,Fair
0.3597316102727543,530.196555063815,Not Default,Not Default,Fair
0.29306799360192065,538.9681589777027,Not Default,Not Default,Fair
0.06814796712552737,589.0286053689026,Not Default,Not Default,Good
0.3522136447544518,531.1427836974527,Not Default,Not Default,Fair
0.253632190883831,544.70441611648,Not Default,Not Default,Fair
0.547607675396458,508.050073793042,Default,Not Default,Fair
0.29341243202268624,538.9202054231807,Not Default,Not Default,Fair
0.3423108807598709,532.4034111376546,Not Default,Not Default,Fair
0.8037280677933762,472.8843663205644,Default,Not Default,Fair
0.1539076949989727,562.7364320842145,Not Default,Not Default,Good
0.06956334281372925,588.3916135011812,Not Default,Not Default,Good
0.3998125934969035,525.2832207466921,Not Default,Not Default,Fair
0.5440178888450992,508.46790078864217,Default,Not Default,Fair
0.3122651314833661,536.3430583102163,Not Default,Not Default,Fair
0.268967425478241,542.4115227883264,Not Default,Not Default,Fair
0.7620935285364641,479.969967134028,Default,Default,Fair
0.7778366936656977,477.40450328619903,Default,Not Default,Fair
0.4083258740818841,524.2630744692527,Not Default,Not Default,Fair
0.4091031562154863,524.1702706085862,Not Default,Not Default,Fair
0.2193096230427369,550.197065492883,Not Default,Not Default,Good
0.7467132748749568,482.36577985401135,Default,Default,Fair
0.6381472222331627,497.19170911438687,Default,Not Default,Fair
0.37995708300427156,527.6920701948153,Not Default,Not Default,Fair
0.6469761015033655,496.08250671091827,Default,Not Default,Fair
0.5030591316442135,513.2083621724252,Default,Not Default,Fair
0.37194809293271053,528.6770880796488,Not Default,Default,Fair
0.7314343414752698,484.65236760579603,Default,Not Default,Fair
0.2754228457889368,541.4712598104189,Not Default,Not Default,Fair
0.4672787467118365,517.3433864809084,Not Default,Not Default,Fair
0.7442778802545696,482.7361500582964,Default,Not Default,Fair
0.5454187984546034,508.30491010123006,Default,Not Default,Fair
0.1114356355279435,573.4667505825133,Not Default,Not Default,Good
0.20813114599938592,552.1168109457107,Not Default,Not Default,Good
0.2879588234527128,539.6834009859826,Not Default,Not Default,Fair
0.44142099796871404,520.3535597489623,Not Default,Not Default,Fair
0.0784964450839132,584.6272482424457,Not Default,Not Default,Good
0.5346677635667155,509.55380688643015,Default,Not Default,Fair
0.29048086339525975,539.3294075562053,Not Default,Not Default,Fair
0.3739369509794294,528.4316963917839,Not Default,Not Default,Fair
0.6828611454583363,491.4318859795271,Default,Not Default,Fair
0.5188846126498587,511.3808218525157,Default,Default,Fair
0.695401585877549,489.7426795693512,Default,Default,Fair
0.5062015079680551,512.8456506130805,Default,Not Default,Fair
0.1142453443433992,572.6568734768099,Not Default,Not Default,Good
0.4705633527208052,516.9628199484335,Not Default,Not Default,Fair
0.562827996685028,506.27157648198045,Default,Not Default,Fair
0.5210409566093311,511.13154837008227,Default,Not Default,Fair
0.1398560611062576,565.9741446163636,Not Default,Not Default,Good
0.5259632678765493,510.5621742328655,Default,Not Default,Fair
0.4890170278846068,514.8292483882014,Not Default,Not Default,Fair
0.6532452916749246,495.2872511170839,Default,Default,Fair
0.07753962288870334,585.0110645022927,Not Default,Not Default,Good
0.1363532431434852,566.8232848298721,Not Default,Not Default,Good
0.4824868693432619,515.5835538496864,Not Default,Not Default,Fair
0.37787012788587004,527.9479442578539,Not Default,Not Default,Fair
0.16173515339634403,561.0368950021194,Not Default,Not Default,Good
0.7904129007847736,475.26030655716716,Default,Not Default,Fair
0.6048091995966568,501.28282367845804,Default,Not Default,Fair
0.32459969226994756,534.7030621923715,Not Default,Not Default,Fair
0.7782664562635273,477.3326952904629,Default,Not Default,Fair
0.26416744067939274,543.1199351591205,Not Default,Not Default,Fair
0.08379255001110664,582.5770462842547,Not Default,Not Default,Good
0.7081067991901838,487.9909108384301,Default,Default,Fair
0.3758027613045471,528.2019642575052,Not Default,Not Default,Fair
0.34322942682997193,532.2857629080258,Not Default,Not Default,Fair
0.6149139063403509,500.057369925716,Default,Not Default,Fair
0.6683243598114577,493.3459300558639,Default,Not Default,Fair
0.652206158938885,495.41952450043186,Default,Not Default,Fair
0.38159021283089056,527.4922177623528,Not Default,Not Default,Fair
0.556031246862216,507.06728176038655,Default,Not Default,Fair
0.538487867828366,509.1105327550957,Default,Not Default,Fair
0.24459510172649154,546.0985306223702,Not Default,Not Default,Fair
0.04449676221184627,602.0512079816115,Not Default,Not Default,Good
0.6221980796865504,499.1665599527282,Default,Not Default,Fair
0.4958941256761374,514.0353307164594,Not Default,Not Default,Fair
0.20353169171736096,552.9287082027138,Not Default,Not Default,Good
0.14253190586719383,565.3373998372717,Not Default,Not Default,Good
0.6254193198170757,498.7704922049031,Default,Not Default,Fair
0.09662471427946037,578.0586640501283,Not Default,Not Default,Good
0.3668966956878572,529.3027783775516,Not Default,Not Default,Fair
0.36710571096824207,529.2768179280532,Not Default,Not Default,Fair
0.6793893092971757,491.89311842596857,Default,Not Default,Fair
0.2082464991675439,552.0966200756754,Not Default,Not Default,Good
0.33586655844291036,533.2331378802768,Not Default,Not Default,Fair
0.5425396364954332,508.6398022251972,Default,Not Default,Fair
0.11349877743680373,572.8703553674484,Not Default,Not Default,Good
0.34673175182598776,531.8385493629037,Not Default,Not Default,Fair
0.9077311997107632,447.5944312672462,Default,Not Default,Poor
0.6756080330982651,492.3924703342699,Default,Not Default,Fair
0.7783885909429087,477.3122699465094,Default,Not Default,Fair
0.5886389100607823,503.22188665723274,Default,Not Default,Fair
0.3323759258340644,533.6858398568144,Not Default,Not Default,Fair
0.2869389357953486,539.8270757753259,Not Default,Not Default,Fair
0.20857128020557839,552.0398161797885,Not Default,Not Default,Good
0.3170327747763157,535.7051251705514,Not Default,Not Default,Fair
0.7797307814804156,477.0872743214692,Default,Not Default,Fair
0.619770869029238,499.4641205307075,Default,Not Default,Fair
0.8013169304915299,473.32335773999876,Default,Not Default,Fair
0.6912350610536646,490.3080889814085,Default,Not Default,Fair
0.5307487207937837,510.00807188162923,Default,Not Default,Fair
0.12568097711522053,569.5293078318617,Not Default,Default,Good
0.7335691035202182,484.33800843265396,Default,Not Default,Fair
0.16471167049939262,560.4080681330956,Not Default,Default,Good
0.6450395681220498,496.32684914835374,Default,Not Default,Fair
0.3290329214826524,534.1216389191693,Not Default,Not Default,Fair
0.23745851858285782,547.2242442698059,Not Default,Not Default,Fair
0.19381814823313842,554.6894709462897,Not Default,Not Default,Good
0.1678701614926314,559.7506947881683,Not Default,Not Default,Good
0.584255982843778,503.7433360992076,Default,Not Default,Fair
0.48882726498410234,514.8511607443409,Not Default,Not Default,Fair
0.6741845911747285,492.5796617189345,Default,Not Default,Fair
0.7560037233220503,480.93075396319796,Default,Default,Fair
0.2879840111784146,539.6798565537414,Not Default,Not Default,Fair
0.8007454850370923,473.4268112332593,Default,Not Default,Fair
0.7237470624039167,485.7715224702268,Default,Not Default,Fair
0.1919906455078025,555.0281576266002,Not Default,Not Default,Good
0.11760545350457943,571.7108163701031,Not Default,Not Default,Good
0.47617069730211653,516.3137965620688,Not Default,Not Default,Fair
0.49280357717640333,514.392074943584,Not Default,Not Default,Fair
0.2071023435565141,552.2972537514585,Not Default,Not Default,Good
0.8337778242249482,467.03043537974315,Default,Not Default,Fair
0.28572583114284655,539.9983676795998,Not Default,Not Default,Fair
0.3360395940762744,533.210757745508,Not Default,Not Default,Fair
0.304947446574415,537.3326666898838,Not Default,Default,Fair
0.7112881368508035,487.54536384486016,Default,Not Default,Fair
0.5551005106554746,507.17604654838084,Default,Not Default,Fair
0.5257919063079322,510.5820051509397,Default,Not Default,Fair
0.17557787767987001,558.1868808520466,Not Default,Not Default,Good
0.4816641922546409,515.6786258251309,Not Default,Not Default,Fair
0.4390283748573952,520.6337103657052,Not Default,Not Default,Fair
0.5174839758750057,511.5426913979374,Default,Not Default,Fair
0.11518313146615079,572.3904269020927,Not Default,Not Default,Good
0.7129257768671605,487.3148762974828,Default,Not Default,Fair
0.39264839362651777,526.1473173948715,Not Default,Not Default,Fair
0.0986665780127302,577.3899882791561,Not Default,Not Default,Good
0.501608787701888,513.3757582583341,Default,Not Default,Fair
0.4810959597195959,515.7442998101641,Not Default,Not Default,Fair
0.38766650702226896,526.7514680999368,Not Default,Not Default,Fair
0.14269429581153287,565.2990796659627,Not Default,Not Default,Good
0.08789469645566773,581.0684855715542,Not Default,Not Default,Good
0.6108682933225088,500.5493816305037,Default,Not Default,Fair
0.6814194506248539,491.62373927236035,Default,Not Default,Fair
0.47407187097392833,516.5566354500199,Not Default,Not Default,Fair
0.4212870339409069,522.7223271752982,Not Default,Not Default,Fair
0.573091262972027,505.06469384007346,Default,Not Default,Fair
0.2170791457933899,550.574344811259,Not Default,Not Default,Good
0.2958901614051302,538.5762136047628,Not Default,Not Default,Fair
0.37949780768985014,527.7483332258938,Not Default,Not Default,Fair
0.05930478805433588,593.3115754741559,Not Default,Not Default,Good
0.4479820127057674,519.5869275187098,Not Default,Not Default,Fair
0.3636568559066365,529.7059813916154,Not Default,Not Default,Fair
0.29448934690216005,538.7704865358227,Not Default,Not Default,Fair
0.5303627645117015,510.05278424441525,Default,Not Default,Fair
0.18328567536864848,556.6761880005957,Not Default,Not Default,Good
0.5636680053342574,506.1730498034103,Default,Not Default,Fair
0.03336626392434029,610.6915838383302,Not Default,Not Default,Good
0.13600754070123985,566.9080796936483,Not Default,Not Default,Good
0.10737562032785473,574.6691729909155,Not Default,Not Default,Good
0.14450572566678957,564.8740689447164,Not Default,Not Default,Good
0.1422414379568882,565.4060342566154,Not Default,Not Default,Good
0.06693714169401353,589.5833465617594,Not Default,Not Default,Good
0.6151580299973235,500.02761946168533,Default,Not Default,Fair
0.6588505501613546,494.57049090114316,Default,Not Default,Fair
0.8106597587889475,471.5991288184161,Default,Not Default,Fair
0.24843149731340686,545.5025682948703,Not Default,Not Default,Fair
0.5534223812895699,507.3720372798472,Default,Not Default,Fair
0.6284240354403882,498.3998145648648,Default,Not Default,Fair
0.5358159366147195,509.4206281160054,Default,Not Default,Fair
0.5240547075379199,510.7830046195403,Default,Default,Fair
0.13422790610953844,567.3474912833187,Not Default,Not Default,Good
0.5136733772571126,511.9829234441103,Default,Not Default,Fair
0.1636329687021777,560.634892949819,Not Default,Not Default,Good
0.14399285709607307,564.9939498621557,Not Default,Not Default,Good
0.30923484756085506,536.7512860774694,Not Default,Not Default,Fair
0.7030160642291691,488.6979829037939,Default,Not Default,Fair
0.13389033535071024,567.4313957237097,Not Default,Not Default,Good
0.4219088943762111,522.6487455788192,Not Default,Not Default,Fair
0.5052940226927901,512.9504024450193,Default,Not Default,Fair
0.3263866875416678,534.4682068135664,Not Default,Not Default,Fair
0.43910690422808046,520.6245102195282,Not Default,Not Default,Fair
0.5886321589417342,503.22269112204276,Default,Not Default,Fair
0.18806979592228049,555.7631889880832,Not Default,Not Default,Good
0.24507398952476642,546.0237956972039,Not Default,Not Default,Fair
0.20656393609381987,552.3919496388779,Not Default,Not Default,Good
0.15289194431958908,562.9621103842733,Not Default,Not Default,Good
0.254105785171132,544.6322744211031,Not Default,Not Default,Fair
0.19481650296185699,554.5054722926291,Not Default,Not Default,Good
0.26218781698735194,543.414497336849,Not Default,Not Default,Fair
0.09270449392048735,579.3786647336036,Not Default,Not Default,Good
0.711873197612136,487.4631098288266,Default,Not Default,Fair
0.07495894863173017,586.068333455919,Not Default,Not Default,Good
0.06906892710850844,588.6127507913143,Not Default,Not Default,Good
0.37620364303090226,528.152664257272,Not Default,Not Default,Fair
0.17698340478535474,557.9075867405151,Not Default,Not Default,Good
0.17992902720605816,557.327854569208,Not Default,Not Default,Good
0.7266251398163556,485.3548240293473,Default,Not Default,Fair
0.36860052709449387,529.0913365477965,Not Default,Not Default,Fair
0.08536524551887459,581.9909382096162,Not Default,Not Default,Good
0.6923582971200002,490.15608318482725,Default,Not Default,Fair
0.1832457386279603,556.6838866608907,Not Default,Not Default,Good
0.17243229292473453,558.8183853854795,Not Default,Not Default,Good
0.4661331192923767,517.4761987064854,Not Default,Default,Fair
0.0954286896160344,578.4562235503016,Not Default,Not Default,Good
0.3836621470716135,527.2391374147176,Not Default,Not Default,Fair
0.0809107180976591,583.6774837528717,Not Default,Not Default,Good
0.31047492885930555,536.5839628008019,Not Default,Not Default,Fair
0.1315126667912677,568.0274990328046,Not Default,Not Default,Good
0.42330662835784844,522.4834653268964,Not Default,Not Default,Fair
0.07369285284736064,586.5993187956758,Not Default,Not Default,Good
0.44763055360985016,519.6279382673672,Not Default,Not Default,Fair
0.07338292359135253,586.7305777338889,Not Default,Not Default,Good
0.6151564601583638,500.0278107948168,Default,Not Default,Fair
0.30321662601698574,537.5686648686878,Not Default,Not Default,Fair
0.14311550885942112,565.199852523979,Not Default,Not Default,Good
0.3945917497649258,525.9123889743232,Not Default,Not Default,Fair
0.5749022230729222,504.8510001995133,Default,Not Default,Fair
0.23363395961481448,547.8371109456912,Not Default,Not Default,Fair
0.5206535144156132,511.1763431193472,Default,Not Default,Fair
0.5220720712254943,511.01231999831765,Default,Not Default,Fair
0.5194353677695008,511.3171626331249,Default,Not Default,Fair
0.13914604678753237,566.1448096774142,Not Default,Not Default,Good
0.1954944538955315,554.3809318471829,Not Default,Not Default,Good
0.22461422888261676,549.3107368670045,Not Default,Not Default,Fair
0.4397928879168922,520.5441586075877,Not Default,Not Default,Fair
0.2920407573998847,539.1113696970949,Not Default,Not Default,Fair
0.6512786568900869,495.53743243488947,Default,Not Default,Fair
0.1415560039364643,565.5684596355147,Not Default,Not Default,Good
0.526407793443783,510.51072793973594,Default,Not Default,Fair
0.07673962152173179,585.335318508219,Not Default,Not Default,Good
0.7443076351188624,482.7316390285891,Default,Default,Fair
